domain,site,plot,measurementLevel,sensorDepths,startDate,endDate
2,SERC,2,4,-0.46,20100101125959,NA
2,SERC,2,5,-0.66,20100101125959,NA
2,SERC,2,6,-1.16,20100101125959,NA
2,SERC,2,7,-1.66,20100101125959,NA
2,SERC,2,8,-1.96,20100101125959,NA
2,SERC,3,1,-0.06,20100101125959,NA
2,SERC,3,2,-0.16,20100101125959,NA
2,SERC,3,3,-0.26,20100101125959,NA
2,SERC,3,4,-0.46,20100101125959,NA
2,SERC,3,5,-0.66,20100101125959,NA
2,SERC,3,6,-1.16,20100101125959,NA
2,SERC,3,7,-1.66,20100101125959,NA
2,SERC,3,8,-1.96,20100101125959,NA
2,SERC,4,1,-0.06,20100101125959,NA
2,SERC,4,2,-0.16,20100101125959,NA
2,SERC,4,3,-0.26,20100101125959,NA
2,SERC,4,4,-0.46,20100101125959,NA
2,SERC,4,5,-0.66,20100101125959,NA
2,SERC,4,6,-1.16,20100101125959,NA
2,SERC,4,7,-1.66,20100101125959,NA
2,SERC,4,8,-1.96,20100101125959,NA
2,SERC,5,1,-0.07,20100101125959,NA
2,SERC,5,2,-0.17,20100101125959,NA
2,SERC,5,3,-0.27,20100101125959,NA
2,SERC,5,4,-0.47,20100101125959,NA
2,SERC,5,5,-0.67,20100101125959,NA
2,SERC,5,6,-1.17,20100101125959,NA
2,SERC,5,7,-1.67,20100101125959,NA
2,SERC,5,8,-1.97,20100101125959,NA
3,DSNY,1,1,-0.05,20100101125959,NA
3,DSNY,1,2,-0.15,20100101125959,NA
3,DSNY,1,3,-0.25,20100101125959,NA
3,DSNY,1,4,-0.35,20100101125959,NA
3,DSNY,1,5,-0.55,20100101125959,NA
3,DSNY,1,6,-1.05,20100101125959,NA
3,DSNY,1,7,-1.65,20100101125959,NA
3,DSNY,1,8,-1.95,20100101125959,NA
3,DSNY,2,1,-0.06,20100101125959,NA
3,DSNY,2,2,-0.16,20100101125959,NA
3,DSNY,2,3,-0.26,20100101125959,NA
3,DSNY,2,4,-0.36,20100101125959,NA
3,DSNY,2,5,-0.56,20100101125959,NA
3,DSNY,2,6,-1.06,20100101125959,NA
3,DSNY,2,7,-1.66,20100101125959,NA
3,DSNY,2,8,-1.96,20100101125959,NA
3,DSNY,3,1,-0.06,20100101125959,NA
3,DSNY,3,2,-0.16,20100101125959,NA
3,DSNY,3,3,-0.26,20100101125959,NA
3,DSNY,3,4,-0.36,20100101125959,NA
3,DSNY,3,5,-0.56,20100101125959,NA
3,DSNY,3,6,-1.06,20100101125959,NA
3,DSNY,3,7,-1.66,20100101125959,NA
3,DSNY,3,8,-1.96,20100101125959,NA
3,DSNY,4,1,-0.06,20100101125959,NA
3,DSNY,4,2,-0.16,20100101125959,NA
3,DSNY,4,3,-0.26,20100101125959,NA
3,DSNY,4,4,-0.36,20100101125959,NA
3,DSNY,4,5,-0.56,20100101125959,NA
3,DSNY,4,6,-1.06,20100101125959,NA
3,DSNY,4,7,-1.66,20100101125959,NA
3,DSNY,4,8,-1.96,20100101125959,NA
3,DSNY,5,1,-0.06,20100101125959,NA
3,DSNY,5,2,-0.16,20100101125959,NA
3,DSNY,5,3,-0.26,20100101125959,NA
3,DSNY,5,4,-0.36,20100101125959,NA
3,DSNY,5,5,-0.56,20100101125959,NA
3,DSNY,5,6,-1.06,20100101125959,NA
3,DSNY,5,7,-1.66,20100101125959,NA
3,DSNY,5,8,-1.96,20100101125959,NA
3,JERC,1,1,-0.06,20100101125959,NA
3,JERC,1,2,-0.16,20100101125959,NA
3,JERC,1,3,-0.26,20100101125959,NA
3,JERC,1,4,-0.46,20100101125959,NA
3,JERC,1,5,-0.76,20100101125959,NA
3,JERC,1,6,-0.96,20100101125959,NA
3,JERC,1,7,-1.46,20100101125959,NA
3,JERC,1,8,-1.96,20100101125959,NA
3,JERC,2,1,-0.06,20100101125959,NA
3,JERC,2,2,-0.16,20100101125959,NA
3,JERC,2,3,-0.26,20100101125959,NA
3,JERC,2,4,-0.46,20100101125959,NA
3,JERC,2,5,-0.76,20100101125959,NA
3,JERC,2,6,-0.96,20100101125959,NA
3,JERC,2,7,-1.46,20100101125959,NA
3,JERC,2,8,-1.96,20100101125959,NA
3,JERC,3,1,-0.06,20100101125959,NA
3,JERC,3,2,-0.16,20100101125959,NA
3,JERC,3,3,-0.26,20100101125959,NA
3,JERC,3,4,-0.46,20100101125959,NA
3,JERC,3,5,-0.76,20100101125959,NA
3,JERC,3,6,-0.96,20100101125959,NA
3,JERC,3,7,-1.46,20100101125959,NA
3,JERC,3,8,-1.96,20100101125959,NA
